"a."
"chir."
"Ch.M."
"Chr."
"Cis."
"con."
"corr."
"c.q."
"cresc."
"c.s."
"cum div."
"cur.vit."
"cwt."
"d."
"D.Admin."
"Dan."
"D.Arch."
"dat."
"D.B.A."
"D.Bibli."
"dbl."
"D.B.L."
"Dbn."
"D.Ch.D."
"D.C.L."
"D.Com."
"D.Compt."
"D.Cur."
"d.d."
"D.D."
"D.Diac."
"De."
"D.Econ."
"D.Ed."
"deelsgen."
"def."
"dekl."
"del."
"dem."
"Dem."
"demob."
"dep."
"dept."
"des."
"Des."
"Deut."
"D.G.A."
"D.G.G."
"dgl."
"d.i."
"di."
"Di."
"dial."
"diam."
"dierk."
"dies."
"dift."
"digk."
"dim."
"D.Ing."
"D.Inst.Agrar."
"Dip.Cur.Admin."
"dipl."
"Dipl.Bedryf.Verpl."
"Dipl.M.W."
"Dipl.Psig.Verpl."
"Dipl.S.M.A."
"Dipl.Teol."
"dir."
"dir.genl."
"disk."
"diss."
"dist."
"div."
"dl."
"Dl."
"D.Litt."
"D.Litt. et Phil."
"dm."
"D.M."
"D.Med.Vet."
"D.Mil."
"D.Mus."
"d.m.v."
"dnr."
"do."
"Do."
"dok."
"dom."
"dos."
"D.P.A."
"D.Pharm."
"D.Phil."
"D.P.L."
"dr."
"dra."
"drieh."
"Dr.Med."
"Dr.Rer.Nat."
"Dr.Rer.Pol."
"drs."
"ds."
"D.Sc."
"D.Sc.Agric."
"D.Soc.Sc."
"d.t."
"dt."
"D.Th."
"D.Theol."
"D.T.O."
"dupl."
"dv."
"D.V.Sc."
"dw."
"dw.dnr."
"d.w.s."
"e."
"e.a."
"e.bmn."
"e.c."
"e.d."
"ed."
"Ed."
"Ed.Agb."
"e.d.m."
"Edma."
"Edms."
"e.e."
"eenh."
"eerw."
"eetk."
"Ef."
"e.g."
"eg."
"Egip."
"eil."
"eint."
"ek."
"ekon."
"eks."
"Eks."
"eksp."
"ekv."
"elektr."
"elektron."
"elektrotegn."
"ellipt."
"em."
"Em."
"embr."
"e.m.e."
"e.m.k."
"Eng."
"enkl."
"ens."
"entom."
"e.o."
"e.s."
"Eseg."
"esk."
"eskn."
"e.s.m."
"Est."
"et al."
"etc."
"etim."
"etnol."
"E.T.S."
"et seq."
"euf."
"Eur."
"e.v."
"ev."
"Ev."
"Ex."
"ex.div."
"f."
"faks."
"fakt."
"fam."
"farm."
"fb."
"Feb."
"Febr."
"fec."
"fem."
"Fen."
"fig."
"Fil."
"filat."
"Filem."
"filol."
"filos."
"fin."
"Fin."
"fis."
"fisiol."
"fitopatol."
"fl."
"flot."
"fol."
"fonet."
"fonol."
"fotogr."
"fout."
"fr."
"Fr."
"frekw."
"Fri."
"Frk."
"fur."
"fut."
"g."
"Gael."
"gal."
"Gal."
"gall."
"Gall."
"geadr."
"geb."
"gebr."
"gebrs."
"ged."
"gefr."
"gegalv."
"geïll."
"gell."
"gem."
"gemasj."
"gen."
"Gen."
"geneal."
"geneesh."
"geneesk."
"genet."
"genl."
"genl.maj."
"geod."
"geogr."
"geol."
"geom."
"geomorfol."
"geoorl."
"Geref."
"gereg."
"geriat."
"germ."
"Germ."
"ges."
"Ges."
"gesert."
"gesinsk."
"gesk."
"gest."
"get."
"getr."
"gev."
"gev. en geb."
"gew."
"gewest."
"ghn."
"gimn."
"ginekol."
"G.Ing."
"glos."
"goew."
"Got."
"gr."
"Gr."
"gram."
"grondk."
"gs."
"G.S.O."
"G.T.S."
"g.v."
"h."
"Hab."
"Hag."
"Hand."
"h.b.s."
"h.c."
"Hd."
"H.d.L."
"Heb."
"Hebr."
"H.Ed."
"H.Ed.Geb."
"heelk."
"H.Eerw."
"H.Eks."
"helmintol."
"her."
"Her."
"hers."
"Herv."
"hfs."
"hfst."
"H.Geb."
"H.Gel."
"H.H."
"HH.EE."
"HH.KK.HH."
"HH.MM."
"Hi."
"hidrol."
"hist."
"h.k."
"hk."
"H.K.H."
"H.K.M."
"hl."
"H.M."
"H.O.D."
"hoev."
"Holl."
"homof."
"homog."
"homon."
"Hong."
"Hons."
"Hons.B.A."
"Hons.B.Admin."
"Hons.B.Bibl."
"Hons.B.Ch.D."
"Hons.B.Com."
"Hons.B.Compt."
"Hons.B.Cur."
"Hons.B.Diac."
"Hons.B.Econ."
"Hons.B. in Publ.Admin."
"Hons.B.Joern."
"Hons.B.Mus."
"Hons.B.Sc."
"Hons.B.Sc.Agric."
"Hons.B.Soc.Sc."
"Hons.B.Th."
"hoofart."
"Hooggel."
"hoogl."
"Hoogl."
"Hos."
"hosp."
"Hott."
"houtw."
"how."
"H.P.O.D."
"hr."
"hs."
"H.S.O.D."
"hss."
"hst."
"h.t.l."
"huish."
"hulpww."
"hum."
"h.v."
"hww."
"i."
"i.a."
"ib."
"ibid."
"i.c."
"i.d."
"id."
"Idg."
"I.D.H.M."
"I.D.S.M."
"i.e."
"iem."
"i.f.p."
"ik."
"i.l."
"ill."
"I.M."
"imp."
"impf."
"impr."
"incog."
"ind."
"Ind."
"Indon."
"indust."
"inf."
"infin."
"ing."
"inh."
"inkl."
"inl."
"ins."
"insekt."
"inskr."
"insl."
"insp."
"insp.genl."
"inst."
"instr."
"int."
"intens."
"intr."
"i.p.v."
"ir."
"Ir."
"is."
"Isr."
"i.t."
"it."
"It."
"iter."
"i.t.v."
"i.v."
"i.v.m."
"j."
"Jak."
"Jan."
"Jap."
"Jav."
"J.C."
"Jer."
"Jes."
"jg."
"Jhb."
"jhr."
"jkv."
"jl."
"joern."
"Joh."
"Jos."
"jr."
"J.S."
"J.Sir."
"jt."
"Jud."
"juf."
"Jul."
"Jun."
"jur."
"k."
"k.a."
"Kaapl."
"kal."
"kan."
"Kan."
"kap."
"kapt."
"kar."
"kard."
"kartogr."
"kat."
"k.a.v."
"kav."
"k.b.a."
"kdoor."
"kdr."
"Kelt."
"kernfis."
"Kh."
"Kie."
"kindert."
"kk."
"kl."
"Klaagl."
"klass."
"klemt."
"klin.psig."
"kln."
"k.m.b."
"kmdmt."
"kmdt."
"kn."
"knr."
"ko."
"ko-ef."
"koëf."
"kol."
"Kol."
"koll."
"kom."
"komb."
"komdo."
"komm."
"komp."
"kon."
"Kon."
"konj."
"konkr."
"kons."
"Kons."
"kons.genl."
"konst."
"kontam."
"kookk."
"ko-op."
"koöp."
"kooph."
"koopv."
"kop."
"kopelww."
"kopp."
"koppelww."
"Kor."
"korp."
"korr."
"kosmogr."
"kp."
"kpl."
"kpln."
"kpln.genl."
"kr."
"krg."
"krist."
"Kron."
"krygsk."
"ks."
"kt."
"k.u."
"kub."
"kurs."
"kuunsgesk."
"k.v.a."
"kw."
"kwal."
"kwant."
"kwor."
"kww."
"l."
"lw."
"m."
"Ma."
"maj."
"maks."
"m.a.w."
"m.b.t."
"m.b.v."
"M.Com."
"M.Cur."
"M.Ed."
"Mrt."
"M.Sc."
"n."
"n.C."
"Ned."
"neg."
"no."
"Nov."
"nr."
"o."
"o.a.."
"o.a."
"Okt."
"p."
"per cap."
"Ph.D."
"Pta."
"q."
"r."
"s."
"Sa."
"Sep."
"Sept."
"s.nw."
"So."
"str."
"t."
"t.o.v."
"t.w.v"
"u."
"univ."
"v."
"v.a.b."
"v.c."
"v.C."
"v.d."
"vdg."
"V.D.O."
"vdr."
"V.d.S."
"veearts."
"veek."
"veet."
"veggenl."
"veldm."
"Ven."
"v. en b."
"ver."
"verafr."
"verb."
"verbet."
"verd."
"verg."
"verg.tr."
"verk."
"verklw."
"verl."
"verl.dw."
"verlosk."
"verl.t."
"veroud."
"verpl."
"versam."
"versk."
"verspr."
"vert."
"verv."
"verw."
"v.g."
"vgl."
"vgw."
"vh."
"v.h.t.h."
"v.hv."
"visk."
"vk."
"vkw."
"v.l."
"vl."
"Vl."
"vlg."
"voegw."
"voors."
"vr."
"Vr."
"vs."
"w."
"Wo."
"ww."
"x."
"Xh."
"y."
"z."
"Zam."
"Zim."
